,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV,CAT.MEDV,,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV,CAT.MEDV
,0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,4.98,24,0,,0,0.18,0.067815249,0,0.314814815,0.577505269,0.641606591,0.269203139,0,0.208015267,0.287234043,0.089679912,0.422222222,0
,0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,9.14,21.6,0,,0.000235923,0,0.242302053,0,0.172839506,0.547997701,0.782698249,0.34896198,0.043478261,0.104961832,0.553191489,0.204470199,0.368888889,0
,0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,4.03,34.7,1,,0.000235698,0,0.242302053,0,0.172839506,0.694385898,0.59938208,0.34896198,0.043478261,0.104961832,0.553191489,0.063465784,0.66,1
,0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,2.94,33.4,1,,0.000292796,0,0.063049853,0,0.150205761,0.658555279,0.441812564,0.44854459,0.086956522,0.066793893,0.64893617,0.033388521,0.631111111,1
,0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,5.33,36.2,1,,0.00070507,0,0.063049853,0,0.150205761,0.687104809,0.528321318,0.44854459,0.086956522,0.066793893,0.64893617,0.099337748,0.693333333,1
,0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,5.21,28.7,0,,0.000264472,0,0.063049853,0,0.150205761,0.549722169,0.574665294,0.44854459,0.086956522,0.066793893,0.64893617,0.09602649,0.526666667,0
,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,12.43,22.9,0,,0.000921323,0.125,0.271627566,0,0.28600823,0.469630197,0.656024717,0.402922642,0.173913043,0.236641221,0.276595745,0.295253863,0.397777778,0
,0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,19.15,27.1,0,,0.001553672,0.125,0.271627566,0,0.28600823,0.500287411,0.959835221,0.438387182,0.173913043,0.236641221,0.276595745,0.480684327,0.491111111,0
,0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,29.93,16.5,0,,0.002303251,0.125,0.271627566,0,0.28600823,0.396627706,1,0.450354191,0.173913043,0.236641221,0.276595745,0.778145695,0.255555556,0
,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,17.1,18.9,0,,0.001840173,0.125,0.271627566,0,0.28600823,0.468097337,0.854788877,0.496730897,0.173913043,0.236641221,0.276595745,0.424116998,0.308888889,0
,0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,20.45,15,0,,0.002456674,0.125,0.271627566,0,0.28600823,0.539566967,0.941297631,0.474415517,0.173913043,0.236641221,0.276595745,0.516556291,0.222222222,0
,0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,13.27,18.9,0,,0.001249299,0.125,0.271627566,0,0.28600823,0.469055375,0.823892894,0.463503351,0.173913043,0.236641221,0.276595745,0.318432671,0.308888889,0
,0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,15.71,21.7,0,,0.000983029,0.125,0.271627566,0,0.28600823,0.446062464,0.371781668,0.392956197,0.173913043,0.236641221,0.276595745,0.385761589,0.371111111,0
,0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,8.26,20.4,0,,0.007007315,0,0.281524927,0,0.314814815,0.457558919,0.606591143,0.325355327,0.130434783,0.229007634,0.893617021,0.180187638,0.342222222,0
,0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,10.26,18.2,0,,0.007099481,0,0.281524927,0,0.314814815,0.485725235,0.840370752,0.303021761,0.130434783,0.229007634,0.893617021,0.235375276,0.293333333,0
,0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,8.47,19.9,0,,0.006980677,0,0.281524927,0,0.314814815,0.435524047,0.552008239,0.306359065,0.130434783,0.229007634,0.893617021,0.18598234,0.331111111,0
,1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,6.58,23.1,0,,0.011774884,0,0.281524927,0,0.314814815,0.454876413,0.271884655,0.306359065,0.130434783,0.229007634,0.893617021,0.133830022,0.402222222,0
,0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21,14.67,17.5,0,,0.008743184,0,0.281524927,0,0.314814815,0.46541483,0.811534501,0.284471078,0.130434783,0.229007634,0.893617021,0.357064018,0.277777778,0
,0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,11.69,20.2,0,,0.008951232,0,0.281524927,0,0.314814815,0.363096379,0.347064882,0.242513799,0.130434783,0.229007634,0.893617021,0.274834437,0.337777778,0
,0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,11.28,18.2,0,,0.008086782,0,0.281524927,0,0.314814815,0.415022035,0.685890834,0.242513799,0.130434783,0.229007634,0.893617021,0.263520971,0.293333333,0
,1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,21.02,13.6,0,,0.013998783,0,0.281524927,0,0.314814815,0.384939644,0.980432544,0.242641108,0.130434783,0.229007634,0.893617021,0.532284768,0.191111111,0
,0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,13.83,19.6,0,,0.009505689,0,0.281524927,0,0.314814815,0.460624641,0.888774459,0.262137511,0.130434783,0.229007634,0.893617021,0.33388521,0.324444444,0
,1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,18.72,15.2,0,,0.01378163,0,0.281524927,0,0.314814815,0.494539184,0.914521112,0.258918422,0.130434783,0.229007634,0.893617021,0.468818985,0.226666667,0
,0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,19.88,14.5,0,,0.01103868,0,0.281524927,0,0.314814815,0.431500287,1,0.269676,0.130434783,0.229007634,0.893617021,0.500827815,0.211111111,0
,0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,16.3,15.6,0,,0.008361706,0,0.281524927,0,0.314814815,0.45276873,0.939237899,0.297356528,0.130434783,0.229007634,0.893617021,0.402041943,0.235555556,0
,0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,16.51,13.9,0,,0.009376432,0,0.281524927,0,0.314814815,0.390496264,0.852729145,0.302357937,0.130434783,0.229007634,0.893617021,0.407836645,0.197777778,0
,0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,14.81,16.6,0,,0.007481071,0,0.281524927,0,0.314814815,0.431500287,0.900102987,0.323036492,0.130434783,0.229007634,0.893617021,0.360927152,0.257777778,0
,0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,17.28,14.8,0,,0.010671589,0,0.281524927,0,0.314814815,0.476336463,0.884654995,0.302248816,0.130434783,0.229007634,0.893617021,0.429083885,0.217777778,0
,0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,12.8,18.4,0,,0.008617186,0,0.281524927,0,0.314814815,0.562176662,0.942327497,0.302367031,0.130434783,0.229007634,0.893617021,0.305463576,0.297777778,0
,1.00245,0,8.14,0,0.538,6.674,87.3,4.239,4,307,21,11.98,21,0,,0.011196261,0,0.281524927,0,0.314814815,0.59647442,0.869207003,0.282752412,0.130434783,0.229007634,0.893617021,0.282836645,0.355555556,0
,1.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,307,21,22.6,12.7,0,,0.012638996,0,0.281524927,0,0.314814815,0.412339529,0.939237899,0.282206804,0.130434783,0.229007634,0.893617021,0.575883002,0.171111111,0
,1.35472,0,8.14,0,0.538,6.072,100,4.175,4,307,21,13.04,14.5,0,,0.015155691,0,0.281524927,0,0.314814815,0.481126653,1,0.27693259,0.130434783,0.229007634,0.893617021,0.312086093,0.211111111,0
,1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21,27.71,13.2,0,,0.015529638,0,0.281524927,0,0.314814815,0.457750527,0.814624099,0.260109667,0.130434783,0.229007634,0.893617021,0.716887417,0.182222222,0
,1.15172,0,8.14,0,0.538,5.701,95,3.7872,4,307,21,18.35,13.1,0,,0.01287402,0,0.281524927,0,0.314814815,0.410040238,0.948506694,0.241668106,0.130434783,0.229007634,0.893617021,0.458609272,0.18,0
,1.61282,0,8.14,0,0.538,6.096,96.9,3.7598,4,307,21,20.34,13.5,0,,0.018056673,0,0.281524927,0,0.314814815,0.485725235,0.96807415,0.239176495,0.130434783,0.229007634,0.893617021,0.513520971,0.188888889,0
,0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,9.68,18.9,0,,0.00065022,0,0.201612903,0,0.234567901,0.454493198,0.672502575,0.202848075,0.173913043,0.175572519,0.70212766,0.219370861,0.308888889,0
,0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,11.41,20,0,,0.001024167,0,0.201612903,0,0.234567901,0.4368653,0.602471679,0.204448526,0.173913043,0.175572519,0.70212766,0.267108168,0.333333333,0
,0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,8.77,21,0,,0.000829719,0,0.201612903,0,0.234567901,0.438589768,0.397528321,0.25503551,0.173913043,0.175572519,0.70212766,0.194260486,0.355555556,0
,0.17505,0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,10.13,24.7,0,,0.001896485,0,0.201612903,0,0.234567901,0.460816248,0.28115345,0.247133283,0.173913043,0.175572519,0.70212766,0.231788079,0.437777778,0
,0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,4.32,30.8,1,,0.000239519,0.75,0.09127566,0,0.088477366,0.581337421,0.194644696,0.388427648,0.086956522,0.124045802,0.606382979,0.071467991,0.573333333,1
,0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,1.98,34.9,1,,0.000306508,0.75,0.09127566,0,0.088477366,0.663537076,0.132852729,0.388427648,0.086956522,0.124045802,0.606382979,0.006898455,0.664444444,1
,0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,233,17.9,4.84,26.6,0,,0.00136136,0,0.23643695,0,0.12962963,0.614868749,0,0.417508571,0.086956522,0.08778626,0.563829787,0.085816777,0.48,0
,0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,5.81,25.3,0,,0.001519391,0,0.23643695,0,0.12962963,0.499712589,0.038105046,0.417508571,0.086956522,0.08778626,0.563829787,0.112582781,0.451111111,0
,0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,7.44,24.7,0,,0.001720133,0,0.23643695,0,0.12962963,0.507760107,0.03707518,0.417508571,0.086956522,0.08778626,0.563829787,0.157560706,0.437777778,0
,0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,233,17.9,9.55,21.2,0,,0.001307971,0,0.23643695,0,0.12962963,0.48055183,0.38208033,0.417508571,0.086956522,0.08778626,0.563829787,0.215783664,0.36,0
,0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,10.21,19.3,0,,0.001855684,0,0.23643695,0,0.12962963,0.406399693,0.31822863,0.361083578,0.086956522,0.08778626,0.563829787,0.233995585,0.317777778,0
,0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,233,17.9,14.15,20,0,,0.002046086,0,0.23643695,0,0.12962963,0.426326883,0.3130793,0.361083578,0.086956522,0.08778626,0.563829787,0.342715232,0.333333333,0
,0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,18.8,16.6,0,,0.002505904,0,0.23643695,0,0.12962963,0.473079134,0.850669413,0.414644127,0.086956522,0.08778626,0.563829787,0.47102649,0.257777778,0
